mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__gamma,param_svc__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02489194869995117,0.015071029137479769,0.03455386161804199,0.05244650903203409,0.1,linear,,,"{'svc__C': 0.1, 'svc__kernel': 'linear'}",0.9372727272727273,0.9536258240509207,0.9683720930232558,0.9840487919305654,1.0,0.9686638872554939,0.022046680782738207,4,0.980190809118054,0.9762277951933125,0.984285056412618,0.976329479768786,0.9724421371403851,0.9778950555266311,0.004026604010207961
0.06672825813293456,0.04253385590186161,0.09540510177612305,0.02734168987219843,1.0,linear,,,"{'svc__C': 1, 'svc__kernel': 'linear'}",0.9691413237924866,0.9529411764705882,0.9678030303030303,0.952146375791696,0.9843137254901961,0.9652691263695996,0.011902069308589149,9,0.9881144854708325,0.9921098265895953,0.9881894873458793,0.992142528206309,0.9881894873458793,0.9897491629916992,0.0019410448995574822
0.08923540115356446,0.027083985729429633,0.11153593063354492,0.012571214741490724,10.0,linear,,,"{'svc__C': 10, 'svc__kernel': 'linear'}",0.9695767195767195,0.9367441860465117,0.952146375791696,0.952146375791696,0.9843137254901961,0.958985476539364,0.016382406568344044,17,1.0,0.9960631624486265,0.996079219865286,1.0,0.996079219865286,0.9976443204358396,0.0019234132468311635
0.10472631454467773,0.015749777638086472,0.07113800048828126,0.018798515552160795,100.0,linear,,,"{'svc__C': 100, 'svc__kernel': 'linear'}",0.9695767195767195,0.9051162790697674,0.952146375791696,0.952146375791696,0.9843137254901961,0.952659895144015,0.026642322564437323,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.13601980209350586,0.02837273708106054,0.08605074882507324,0.018258521281013542,0.1,rbf,scale,,"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.8516129032258064,0.9688644688644689,0.9683720930232558,0.9356060606060606,0.9683720930232558,0.9385655237485695,0.045308731734307314,33,0.9601219798264133,0.9518008474576272,0.9442857142857143,0.9483804343083211,0.9442857142857143,0.949774938032758,0.005888520666603961
0.09816761016845703,0.01638936200094128,0.10573048591613769,0.02366584960649475,0.1,rbf,auto,,"{'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.8516129032258064,0.9688644688644689,0.9683720930232558,0.9356060606060606,0.9683720930232558,0.9385655237485695,0.045308731734307314,33,0.9601219798264133,0.9518008474576272,0.9442857142857143,0.9483804343083211,0.9442857142857143,0.949774938032758,0.005888520666603961
0.1177332878112793,0.009045658816965025,0.08996472358703614,0.013986133579354939,0.1,rbf,0.001,,"{'svc__C': 0.1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.4623376623376624,0.529559748427673,0.38738738738738737,0.5052910052910052,0.5052910052910052,0.4779733617469466,0.05020748238074108,89,0.5029464304046979,0.4854923889406648,0.48329493087557607,0.4922643013345868,0.47418452935694316,0.4876365161824937,0.00959387787150081
0.10373616218566895,0.022252048170555414,0.09503641128540039,0.01531419986254095,0.1,rbf,0.01,,"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.8141982864137087,0.9356060606060606,0.9678030303030303,0.9342995169082126,0.9840487919305654,0.9271911372323155,0.05961684844017037,44,0.9597537878787878,0.9347670250896057,0.9351004397955545,0.9434949733885275,0.9308685743226133,0.9407969600950178,0.010334639801104316
0.11988949775695801,0.02266931492188895,0.09880452156066895,0.018097286909870246,0.1,rbf,0.1,,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.8695652173913043,0.9356060606060606,0.9512311737987091,0.9512311737987091,0.9678030303030303,0.9350873311795628,0.034307377497151216,37,0.9641890606942758,0.9598340395480226,0.9563219059531948,0.9603796586555207,0.9520267104029991,0.9585502750508027,0.004106412637322699
0.12259902954101562,0.028640539365710982,0.07879118919372559,0.02103158826514418,0.1,rbf,1,,"{'svc__C': 0.1, 'svc__gamma': 1, 'svc__kernel': 'rbf'}",0.38392857142857145,0.38181818181818183,0.38738738738738737,0.38738738738738737,0.38738738738738737,0.3855817830817831,0.0023099101266909018,98,0.3860045146726862,0.3865168539325843,0.38513513513513514,0.38513513513513514,0.38513513513513514,0.3855853548021352,0.0005747136456999534
