,sum_sq,df,F,PR(>F)
C(feature_map_type),0.0029032589409759757,1.0,0.9532082222974949,0.3574990585629758
C(reps),8.958165367732616e-05,1.0,0.029411764705882124,0.8680903702754685
C(entanglement),0.0036280569739317644,1.0,1.1911764705882442,0.30686870241279834
C(paulis),0.0021947505150945175,1.0,0.7205882352941207,0.42062455438724267
Residual,0.024366209800232904,8.0,,
