config_rank,feature_map_type,reps,entanglement,paulis,mean_accuracy,mean_macro_precision,mean_macro_recall,mean_macro_f1,mean_weighted_f1,mean_fit_time_seconds,mean_inference_time_seconds,repeat_count
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",0.9555555555555556,0.9575757575757575,0.9555555555555556,0.9554998607630186,0.9554998607630187,9.141745471240332,6.196957770114143,3
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0.9555555555555556,0.9612794612794614,0.9555555555555556,0.9552753938718851,0.9552753938718851,9.110850940613696,6.17868924792856,3
2,PauliFeatureMap,2,full,"[""Z""]",0.9444444444444445,0.9454545454545453,0.9444444444444443,0.9444165970481758,0.944416597048176,5.6256053679001825,3.793351922960331,3
5,PauliFeatureMap,3,circular,"[""Z""]",0.9222222222222222,0.9262626262626262,0.9222222222222222,0.9226677805625174,0.9226677805625174,6.66991681077828,4.4805375803261995,3
4,ZZFeatureMap,1,circular,,0.8777777777777778,0.8908529741863077,0.8777777777777778,0.877314597644835,0.8773145976448348,6.4101565998668475,4.313882215103756,3
