,sum_sq,df,F,PR(>F)
C(feature_map_type),16.88001557460909,1.0,1874.5353634828916,8.932746627692833e-11
C(reps),501.006187456091,2.0,27818.511528000487,4.272230155811056e-16
C(entanglement),78.38364375375184,2.0,4352.274187355286,7.108519157423274e-13
C(paulis),18.22040505317875,1.0,2023.386380077846,6.587690090188433e-11
Residual,0.07203925155403193,8.0,,
