,sum_sq,df,F,PR(>F)
C(reps),0.41037103293500143,2.0,87.4283488191535,4.6325919513056825e-07
C(entanglement),0.17914656099629772,2.0,38.166651073095736,2.085010457839967e-05
C(paulis),0.029383576753936935,2.0,6.260085122539497,0.017264008987313194
Residual,0.023468991378520623,10.0,,
