mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0003772258758544922,4.82971313221768e-05,0.00057830810546875,9.666614768043643e-05,0.1,linear,,,"{'C': 0.1, 'kernel': 'linear'}",0.9547511312217195,1.0,1.0,1.0,0.9500891265597148,0.9809680515562869,0.02335585624833926,13,0.987617468214483,0.9877616747181964,0.9877616747181964,0.9879326770403303,1.0,0.9902146989382412,0.004893669459464723
0.0003571510314941406,4.975562119859791e-05,0.0005170822143554688,5.9443331822607036e-05,1,linear,,,"{'C': 1, 'kernel': 'linear'}",1.0,0.9555555555555556,1.0,1.0,0.9027777777777778,0.9716666666666667,0.038506052113696565,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0003589153289794922,3.449632603945275e-05,0.0005180835723876953,7.886157180839618e-05,10,linear,,,"{'C': 10, 'kernel': 'linear'}",1.0,0.9555555555555556,1.0,1.0,0.9027777777777778,0.9716666666666667,0.038506052113696565,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0003532886505126953,6.216343717336888e-05,0.0005161762237548828,7.016055622029167e-05,100,linear,,,"{'C': 100, 'kernel': 'linear'}",1.0,0.9555555555555556,1.0,1.0,0.9027777777777778,0.9716666666666667,0.038506052113696565,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.00044260025024414065,3.414320542096153e-05,0.0005268096923828125,3.575375760853566e-05,0.1,rbf,scale,,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6894409937888198,0.7666666666666666,0.7965811965811965,1.0,0.94541910331384,0.8396215920701046,0.11544995106112753,61,0.9203413940256046,0.8080062184220754,0.8763110307414105,0.9365185432676245,0.9753246753246754,0.9033003723562782,0.05725512003507266
0.00040121078491210936,3.615211914621687e-05,0.000571298599243164,7.573810395785934e-05,0.1,rbf,auto,,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6894409937888198,0.7666666666666666,0.7965811965811965,1.0,0.94541910331384,0.8396215920701046,0.11544995106112753,61,0.9203413940256046,0.8080062184220754,0.8763110307414105,0.9365185432676245,0.9753246753246754,0.9033003723562782,0.05725512003507266
0.0004150390625,2.8214660551587672e-05,0.0005415439605712891,6.531269731103944e-05,0.1,rbf,0.001,,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.19354838709677422,0.1839080459770115,0.1839080459770115,0.19999999999999998,0.19999999999999998,0.19227289581015944,0.007224743342233872,82,0.192090395480226,0.19444444444444445,0.19444444444444445,0.19047619047619047,0.19047619047619047,0.19238633306429914,0.0017808151714115256
0.0004187583923339844,5.255744929037344e-05,0.0005408287048339844,3.76733343963231e-05,0.1,rbf,0.01,,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.19354838709677422,0.1839080459770115,0.1839080459770115,0.19999999999999998,0.19999999999999998,0.19227289581015944,0.007224743342233872,82,0.21672069947932018,0.19444444444444445,0.19444444444444445,0.19047619047619047,0.19047619047619047,0.197312393864118,0.009865089438245597
0.0004912376403808594,0.00018892451886888667,0.0005383968353271484,4.588090364811928e-05,0.1,rbf,0.1,,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6894409937888198,0.6825396825396824,0.7965811965811965,0.8833333333333333,0.8095238095238096,0.7722838031533683,0.07645406176676665,66,0.7875338753387533,0.7383291038463452,0.7383291038463452,0.7784687135639331,0.87995787995788,0.7845237353106513,0.0518098217486536
0.00045313835144042967,2.788360070419734e-05,0.0005539894104003906,3.8349567305967036e-05,0.1,rbf,1,,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.19354838709677422,0.1839080459770115,0.1839080459770115,0.19999999999999998,0.19999999999999998,0.19227289581015944,0.007224743342233872,82,0.192090395480226,0.19444444444444445,0.19444444444444445,0.19047619047619047,0.19047619047619047,0.19238633306429914,0.0017808151714115256
