model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,status
Classical SVM,0.9722222222222222,0.9666666666666667,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.974074074074074,0.9722222222222222,0.9719701552732407,completed
QSVM,0.9166666666666666,0.9206349206349206,0.9155844155844156,0.9206349206349206,0.916839199447895,0.9166666666666666,0.9166666666666666,0.9155164481251438,completed
