,sum_sq,df,F,PR(>F)
C(reps),25.43575777088214,1.0,1268.79881732786,7.219536759524436e-12
C(entanglement),112.97588641696218,2.0,2817.7590061126953,1.743737121570967e-14
C(paulis),125.66693317770088,3.0,2089.526322606276,2.7726692049955183e-14
Residual,0.20047116551110003,10.0,,
