config_rank,feature_map_type,reps,entanglement,paulis,mean_accuracy,mean_macro_precision,mean_macro_recall,mean_macro_f1,mean_weighted_f1,mean_fit_time_seconds,mean_inference_time_seconds,repeat_count
4,PauliFeatureMap,1,linear,"[""Z""]",0.633879781420765,0.365994620994621,0.3694083694083694,0.3621817853545422,0.6004524408780169,21.920615866668715,14.840688366666049,3
3,PauliFeatureMap,1,linear,"[""X"", ""Z""]",0.5573770491803279,0.33364443511502334,0.3168831168831168,0.3175516451246497,0.530071600662871,32.10986076666935,21.437929833336966,3
2,PauliFeatureMap,1,full,"[""X"", ""Z""]",0.5956284153005464,0.32549310938845816,0.32409812409812405,0.3121769661483396,0.5436493332890335,31.972108700002234,21.814831366665505,3
1,PauliFeatureMap,1,linear,"[""Y"", ""Z""]",0.5901639344262295,0.2648484046006796,0.2845598845598845,0.2650310295419492,0.5293644423857825,33.56564310000007,22.812121066664986,3
5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",0.5355191256830601,0.2849577647823262,0.22857142857142856,0.2056029921547163,0.42427177641988273,30.08966440000222,20.50640666666489,3
