label,precision,recall,f1-score,support
0,0.7586206896551724,0.6666666666666666,0.7096774193548387,33.0
1,0.21739130434782608,0.45454545454545453,0.29411764705882354,11.0
2,0.5,0.14285714285714285,0.2222222222222222,7.0
3,0.2857142857142857,0.2857142857142857,0.2857142857142857,7.0
4,0.0,0.0,0.0,3.0
accuracy,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246
macro avg,0.3523452559434568,0.3099567099567099,0.30234631487003405,61.0
weighted avg,0.5397670017450291,0.4918032786885246,0.4952492542936442,61.0
