label,precision,recall,f1-score,support
0,0.8378378378378378,0.9393939393939394,0.8857142857142857,33.0
1,0.25,0.2727272727272727,0.2608695652173913,11.0
2,0.2,0.2857142857142857,0.23529411764705882,7.0
3,0.0,0.0,0.0,7.0
4,0.0,0.0,0.0,3.0
accuracy,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295
macro avg,0.25756756756756755,0.2995670995670996,0.27637559371574716,61.0
weighted avg,0.5212893221089943,0.5901639344262295,0.5531999257293795,61.0
