,sum_sq,df,F,PR(>F)
C(feature_map_type),72.66306212597799,1.0,185.6043619489579,9.710790620620017e-06
C(reps),3310.5099047240637,2.0,4228.0428364464915,3.56468777954351e-10
C(entanglement),3625.1191101437885,2.0,4629.848369593164,2.7153105402921627e-10
C(paulis),2467.063326001595,1.0,6301.657281058839,2.690633128998148e-10
Residual,2.348966199812503,6.0,,
