,sum_sq,df,F,PR(>F)
C(feature_map_type),0.0039907538860012495,1.0,1.3578584244732588,0.2774751875982988
C(reps),0.00020381103836313852,1.0,0.06934693126850057,0.7989456554263156
C(entanglement),0.0038994378804510874,1.0,1.3267880525667175,0.2826353979136614
C(paulis),0.001579020037956207,1.0,0.5372633147014994,0.48449003780171024
Residual,0.023512046994438877,8.0,,
