,sum_sq,df,F,PR(>F)
C(reps),0.0018467220683286913,1.0,4.186046511627853,0.06796368603004581
C(entanglement),6.412229403919911e-05,2.0,0.07267441860465979,0.9303900946724337
C(paulis),0.002167333538524703,1.0,4.912790697674488,0.05099767282291461
Residual,0.004411613829896375,10.0,,
