model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,test_sample_count,accuracy_correct_count,accuracy_wilson_95_low,accuracy_wilson_95_high,macro_f1_bootstrap_95_low,macro_f1_bootstrap_95_high,status
Classical SVM,0.9824561403508771,0.9761904761904762,0.9864864864864865,0.9761904761904762,0.9809555629802873,0.9829302987197724,0.9824561403508771,0.9823623542652152,114,112,0.9382819735400814,0.9951755812189311,0.950976176141739,1.0,completed
QSVM,0.9298245614035088,0.9097222222222223,0.9412393162393162,0.9097222222222223,0.9220512820512821,0.9330859199280251,0.9298245614035088,0.9285290148448043,114,106,0.8676111649415449,0.96401465657103,0.8648589934424911,0.9657510338263171,completed
