label,precision,recall,f1-score,support
benign,0.9102564102564102,0.9861111111111112,0.9466666666666667,72.0
malignant,0.9722222222222222,0.8333333333333334,0.8974358974358975,42.0
accuracy,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088
macro avg,0.9412393162393162,0.9097222222222223,0.9220512820512821,114.0
weighted avg,0.9330859199280251,0.9298245614035088,0.9285290148448043,114.0
