,sum_sq,df,F,PR(>F)
C(reps),57842.002100935075,2.0,160.0257470696116,2.5532390868719517e-08
C(entanglement),13710.021115614107,1.0,75.86031920326042,5.550865934291058e-06
C(paulis),15381.34813611971,2.0,42.554054787473255,1.285026999537126e-05
Residual,1807.2717409584616,10.0,,
