label,precision,recall,f1-score,support
0.0,0.9473684210526315,0.6428571428571429,0.7659574468085106,28.0
1.0,0.7619047619047619,0.9696969696969697,0.8533333333333334,33.0
accuracy,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541
macro avg,0.8546365914786966,0.8062770562770563,0.809645390070922,61.0
weighted avg,0.847035621841489,0.819672131147541,0.8132263690268574,61.0
