,sum_sq,df,F,PR(>F)
C(reps),0.4115679775448654,2.0,94.92424242424232,3.1368640713875087e-07
C(entanglement),0.17716478331904273,2.0,40.861373475009756,1.5403334142040566e-05
C(paulis),0.029800830123324195,2.0,6.873278236914621,0.013243317650978212
Residual,0.021678760189913125,10.0,,
