config_rank,feature_map_type,reps,entanglement,paulis,mean_accuracy,mean_macro_precision,mean_macro_recall,mean_macro_f1,mean_weighted_f1,mean_fit_time_seconds,mean_inference_time_seconds,repeat_count
1,PauliFeatureMap,1,linear,"[""X"", ""Z""]",0.8469945355191256,0.848252177972428,0.8441558441558441,0.8448301196926492,0.8462776302962774,41.12933810966448,27.41130445766612,3
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0.819672131147541,0.8207026008638912,0.8170995670995671,0.8176126561287737,0.8191159663343287,68.2629895283341,43.58276563233327,3
3,PauliFeatureMap,2,circular,"[""X"", ""Z""]",0.7814207650273225,0.7823934926305617,0.7772366522366522,0.777972370399295,0.7801547445495264,68.96556600633387,44.33166422132975,3
4,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",0.6830601092896176,0.685708502504057,0.6845238095238096,0.6815459039051701,0.6826316761696942,84.47638696299934,54.865288135333685,3
5,PauliFeatureMap,3,full,"[""Y"", ""Z""]",0.6775956284153005,0.6765225201869883,0.6704545454545454,0.6703498400143592,0.6742752455033946,77.95056411033147,54.65269734733496,3
