,sum_sq,df,F,PR(>F)
C(feature_map_type),0.28222366675072263,1.0,304.80156009077905,1.1820457878879476e-07
C(reps),5.47911111111112,2.0,2958.7199999999916,3.3225959274247508e-12
C(entanglement),1.1472592592592603,2.0,619.5199999999978,1.6937075033607484e-09
C(paulis),0.00018518518518518748,1.0,0.2000000000000016,0.6665811073830697
Residual,0.007407407407407441,8.0,,
