,sum_sq,df,F,PR(>F)
C(feature_map_type),93.44059763497486,1.0,1804.6251315468087,1.0393317097771265e-10
C(reps),1327.929512823564,2.0,12823.200152923328,9.456109216339043e-15
C(entanglement),232.41606309307102,2.0,2244.3342564620652,1.0018355878176795e-11
C(paulis),43.982569656330035,1.0,849.4386012157981,2.0798555197322067e-09
Residual,0.41422718104289546,8.0,,
