config_rank,feature_map_type,reps,entanglement,paulis,mean_accuracy,mean_macro_precision,mean_macro_recall,mean_macro_f1,mean_weighted_f1,mean_fit_time_seconds,mean_inference_time_seconds,repeat_count
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",0.9555555555555556,0.9575757575757575,0.9555555555555556,0.9554998607630186,0.9554998607630187,15.68616243333478,10.446930033333047,3
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0.9555555555555556,0.9612794612794614,0.9555555555555556,0.9552753938718851,0.9552753938718851,14.06663356666589,9.406168766667784,3
2,PauliFeatureMap,2,full,"[""Z""]",0.9444444444444445,0.9454545454545453,0.9444444444444443,0.9444165970481758,0.944416597048176,8.651680833333861,6.1531578666666364,3
5,PauliFeatureMap,3,circular,"[""Z""]",0.9222222222222222,0.9262626262626262,0.9222222222222222,0.9226677805625174,0.9226677805625174,9.729475266665153,6.594019899998481,3
4,ZZFeatureMap,1,circular,,0.8777777777777778,0.8908529741863077,0.8777777777777778,0.877314597644835,0.8773145976448348,10.091281333334337,6.686678133332559,3
