model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,status
Classical SVM,0.9824561403508771,0.9761904761904762,0.9864864864864865,0.9761904761904762,0.9809555629802873,0.9829302987197724,0.9824561403508771,0.9823623542652152,completed
QSVM,0.956140350877193,0.9454365079365079,0.9605128205128205,0.9454365079365079,0.9521289997480473,0.9568690958164642,0.956140350877193,0.9557756825927252,completed
