,sum_sq,df,F,PR(>F)
C(reps),50.85609647485893,1.0,0.6893571027385237,0.4257608333710846
C(entanglement),49.00474188740851,2.0,0.3321309462342765,0.7250133281096951
C(paulis),9213.952935414607,1.0,124.8956239389419,5.688241208767659e-07
Residual,737.7322475220637,10.0,,
