,sum_sq,df,F,PR(>F)
C(reps),0.001551759515748475,1.0,3.5174418604652082,0.09019112948769739
C(entanglement),6.412229403919132e-05,2.0,0.07267441860465096,0.9303900946724423
C(paulis),0.0021673335385246624,1.0,4.912790697674395,0.05099767282291644
Residual,0.004411613829896376,10.0,,
