mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0011357307434082032,0.00022782521935856988,0.0015372753143310547,0.0003177012295693485,0.1,linear,,,"{'C': 0.1, 'kernel': 'linear'}",0.9372727272727273,0.9536258240509207,0.9683720930232558,0.9840487919305654,1.0,0.9686638872554939,0.022046680782738207,3,0.980190809118054,0.9802325749786396,0.984285056412618,0.976329479768786,0.9724421371403851,0.9786960114836966,0.004013584114448866
0.001319742202758789,0.00039852022017659454,0.001360321044921875,0.0005275311483028986,1.0,linear,,,"{'C': 1, 'kernel': 'linear'}",0.9691413237924866,0.9529411764705882,0.9678030303030303,0.952146375791696,0.9843137254901961,0.9652691263695996,0.011902069308589149,10,0.9881144854708325,0.9921098265895953,0.9881894873458793,0.992142528206309,0.9881894873458793,0.9897491629916992,0.0019410448995574822
0.0012266159057617188,0.0003568186633112337,0.0014307975769042968,0.00021564300304533008,10.0,linear,,,"{'C': 10, 'kernel': 'linear'}",0.9695767195767195,0.9367441860465117,0.952146375791696,0.952146375791696,0.9843137254901961,0.958985476539364,0.016382406568344044,17,1.0,0.9960631624486265,0.996079219865286,1.0,0.996079219865286,0.9976443204358396,0.0019234132468311635
0.001345348358154297,0.0004396627726179536,0.0015341758728027344,0.000450362520421005,100.0,linear,,,"{'C': 100, 'kernel': 'linear'}",0.9695767195767195,0.9051162790697674,0.952146375791696,0.952146375791696,0.9843137254901961,0.952659895144015,0.026642322564437323,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0020531654357910157,4.7461372795875616e-05,0.0019319534301757812,0.00019298851640882,0.1,rbf,scale,,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8516129032258064,0.9688644688644689,0.952146375791696,0.9356060606060606,0.9683720930232558,0.9353203803022575,0.04360678627739506,37,0.9601219798264133,0.9518008474576272,0.9483804343083211,0.952455590386625,0.9401709401709402,0.9505859584299854,0.006469066780663075
0.002057504653930664,3.411149189097067e-05,0.002170228958129883,0.0002277925818313812,0.1,rbf,auto,,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8516129032258064,0.9688644688644689,0.9683720930232558,0.9356060606060606,0.9683720930232558,0.9385655237485695,0.045308731734307314,31,0.9601219798264133,0.9518008474576272,0.9483804343083211,0.9442857142857143,0.9442857142857143,0.949774938032758,0.005888520666603961
0.002546262741088867,0.0003195210118515469,0.0021361351013183595,0.00023085452368626887,0.1,rbf,0.001,,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.4623376623376624,0.529559748427673,0.38738738738738737,0.5052910052910052,0.5052910052910052,0.4779733617469466,0.05020748238074108,89,0.5029464304046979,0.4854923889406648,0.5010964912280702,0.4922643013345868,0.4922643013345868,0.4948127826485213,0.006410935535764652
0.0018170833587646484,0.00040961451509051927,0.002052640914916992,0.0006363982508731106,0.1,rbf,0.01,,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8331721470019342,0.9356060606060606,0.9678030303030303,0.9342995169082126,0.9840487919305654,0.9309859093499606,0.05248052553165135,41,0.9597537878787878,0.9347670250896057,0.9351004397955545,0.9434949733885275,0.9308685743226133,0.9407969600950178,0.010334639801104316
0.00211181640625,0.0002234602906020342,0.0020011425018310546,0.0006321082505223287,0.1,rbf,0.1,,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8516129032258064,0.9367441860465117,0.9512311737987091,0.9356060606060606,0.9678030303030303,0.9285994707960235,0.040228033340799656,45,0.9641890606942758,0.9680178069353327,0.9522448979591838,0.9644186349615513,0.9520267104029991,0.9601794221906687,0.0067068887798237995
0.0030568599700927734,5.374075355970896e-05,0.0024363040924072266,0.0003858104917235682,0.1,rbf,1,,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.38392857142857145,0.38181818181818183,0.38738738738738737,0.38738738738738737,0.38738738738738737,0.3855817830817831,0.0023099101266909018,97,0.3860045146726862,0.3865168539325843,0.38513513513513514,0.38513513513513514,0.38513513513513514,0.3855853548021352,0.0005747136456999534
