,sum_sq,df,F,PR(>F)
C(feature_map_type),0.36546692695420596,1.0,109.27787425686965,4.4950046573864335e-05
C(reps),0.16646261956662312,2.0,24.886904761904646,0.0012449812868718473
C(entanglement),2.2348114306190157,2.0,334.1142857142866,7.047454713791395e-07
C(paulis),0.00019845781737747492,1.0,0.05934065934066301,0.8156562480895374
Residual,0.020066290423721225,6.0,,
