model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,status
Classical SVM,0.819672131147541,0.827922077922078,0.832967032967033,0.827922077922078,0.8194780737153619,0.8403530895334175,0.819672131147541,0.818992930134914,completed
QSVM,0.8524590163934426,0.8555194805194806,0.853225806451613,0.8555194805194806,0.8523002421307506,0.8570597567424643,0.8524590163934426,0.8526971777874807,completed
