,sum_sq,df,F,PR(>F)
C(reps),95.97945481135206,1.0,44.34750822465221,5.642801739663525e-05
C(entanglement),2.847786466894738,1.0,1.3158257046874822,0.27804664410444613
C(paulis),83.68198407183708,2.0,19.332718049790785,0.00036635059599735275
Residual,21.642581207752798,10.0,,
