config_rank,feature_map_type,reps,entanglement,paulis,mean_accuracy,mean_macro_precision,mean_macro_recall,mean_macro_f1,mean_weighted_f1,mean_fit_time_seconds,mean_inference_time_seconds,repeat_count
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9665831244778613,11.747588390666351,7.794933102668438,3
3,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",0.9444444444444445,0.9484848484848486,0.9444444444444443,0.9436832822797735,0.9436832822797735,20.205093271665344,13.370386046334412,3
5,PauliFeatureMap,3,circular,"[""Y"", ""Z""]",0.8777777777777778,0.8768799102132435,0.8777777777777778,0.8758841548315233,0.8758841548315233,18.368862812666823,12.220312618000511,3
2,PauliFeatureMap,3,full,"[""Y"", ""Z""]",0.8666666666666667,0.8691638608305275,0.8666666666666667,0.8650405474966879,0.8650405474966879,19.746732295333157,12.990564443667003,3
4,PauliFeatureMap,3,full,"[""X"", ""Z""]",0.8555555555555556,0.857912457912458,0.8555555555555556,0.8553049289891396,0.8553049289891396,19.83604648533219,13.04880915500083,3
