mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__gamma,param_svc__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.036830472946166995,0.006557745951422009,0.10381174087524414,0.01015157369933095,0.1,linear,,,"{'svc__C': 0.1, 'svc__kernel': 'linear'}",1.0,1.0,0.9440559440559441,0.9440559440559441,1.0,0.9776223776223777,0.02740687824093066,1,0.9721739130434782,0.9721739130434782,0.9861050803300043,0.9861050803300043,0.9581699346405229,0.9749455842774977,0.01044849700094072
0.039099502563476565,0.011810901546999654,0.08610577583312988,0.011470693562875143,1.0,linear,,,"{'svc__C': 1, 'svc__kernel': 'linear'}",1.0,1.0,0.9440559440559442,0.9440559440559441,1.0,0.9776223776223777,0.027406878240930636,1,0.9722222222222223,0.9722222222222223,0.9861050803300043,0.9861050803300042,0.9722222222222223,0.9777753654653351,0.006801183707105233
0.0725853443145752,0.025424883667348522,0.08569588661193847,0.007453396467397045,10.0,linear,,,"{'svc__C': 10, 'svc__kernel': 'linear'}",1.0,1.0,0.9440559440559442,0.9440559440559441,1.0,0.9776223776223777,0.027406878240930636,1,0.9722222222222223,0.9861050803300043,0.9861050803300043,1.0,0.9861050803300043,0.986107492642447,0.008784105108435174
0.07258973121643067,0.01507552346695193,0.09804034233093262,0.018184992877435444,100.0,linear,,,"{'svc__C': 100, 'svc__kernel': 'linear'}",1.0,1.0,0.888888888888889,0.9440559440559441,1.0,0.9665889665889665,0.04448354895880358,13,0.9722222222222223,0.9861050803300043,1.0,1.0,0.9861050803300043,0.9888864765764461,0.010394137858557287
0.08289012908935547,0.022420628280115575,0.09220037460327149,0.011139084505250448,0.1,rbf,scale,,"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9440559440559441,0.8857142857142858,0.9440559440559441,0.8321678321678322,0.9440559440559441,0.91000999000999,0.045004585867321034,36,0.9023965141612201,0.8881118881118882,0.9023965141612201,0.9302832244008714,0.8722838137472285,0.8990943909164857,0.019151886517861656
0.08071155548095703,0.017357733890100657,0.0777052402496338,0.00989919149172866,0.1,rbf,auto,,"{'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9440559440559441,0.8857142857142858,0.9440559440559441,0.8321678321678322,0.9440559440559441,0.91000999000999,0.045004585867321034,36,0.9023965141612201,0.8881118881118882,0.9023965141612201,0.9302832244008714,0.8722838137472285,0.8990943909164857,0.019151886517861656
0.06680083274841309,0.019507018226781983,0.10062470436096191,0.010854953474270906,0.1,rbf,0.001,,"{'svc__C': 0.1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.8857142857142858,0.8857142857142858,0.9440559440559441,0.7777777777777777,0.8857142857142858,0.8757953157953159,0.05396685838978494,46,0.8745098039215686,0.8745098039215686,0.8601398601398601,0.8871252204585538,0.8722838137472285,0.8737137004377559,0.008572399280979248
0.08710150718688965,0.010608347225611069,0.09555373191833497,0.01883705435464751,0.1,rbf,0.01,,"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.8857142857142858,0.8857142857142858,0.9440559440559441,0.7777777777777777,0.8857142857142858,0.8757953157953159,0.05396685838978494,46,0.8745098039215686,0.8881118881118882,0.8601398601398601,0.8871252204585538,0.8722838137472285,0.8764341172758199,0.010364370080628689
0.07553215026855468,0.020196495596121182,0.09997830390930176,0.006067680241538333,0.1,rbf,0.1,,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.8222222222222223,0.8857142857142858,0.9440559440559441,0.7777777777777777,0.888888888888889,0.8637318237318239,0.05775675874099436,60,0.8881118881118882,0.8736287845546292,0.8601398601398601,0.9017112768758228,0.8722838137472285,0.8791751246858859,0.014341110470966765
0.06983203887939453,0.00836320586678115,0.1037672996520996,0.01621756091943289,0.1,rbf,1,,"{'svc__C': 0.1, 'svc__gamma': 1, 'svc__kernel': 'rbf'}",1.0,1.0,0.8372183372183373,0.8321678321678322,0.9440559440559442,0.9226884226884227,0.07471257425716184,31,0.9586107492642447,0.9722161914411155,0.9861050803300043,0.972482269503546,0.9586107492642447,0.9696050079606311,0.01028685325953258
0.08803005218505859,0.014787727194814084,0.0998000144958496,0.022174059287603954,1.0,rbf,scale,,"{'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",1.0,1.0,0.8372183372183373,0.9440559440559441,1.0,0.9562548562548564,0.06333943341555588,21,0.9722222222222223,0.9722222222222223,0.9861050803300043,0.9861050803300042,0.9722222222222223,0.9777753654653351,0.006801183707105233
