number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_canonical_params,user_attrs_macro_f1,state,trial_number,suggested_feature_map_type,suggested_reps,suggested_entanglement,suggested_paulis,feature_map_type,reps,entanglement,paulis,cache_hit,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
10,0.8008658008658008,2026-06-26 23:53:28.050078,2026-06-26 23:54:11.588942,0 days 00:00:43.538864,full,PauliFeatureMap,"[""Y"", ""Z""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 3}",0.8008658008658008,COMPLETE,10,PauliFeatureMap,3,full,"[""Y"", ""Z""]",PauliFeatureMap,3,full,"[""Y"", ""Z""]",False,completed,,0.8055555555555556,0.8079365079365078,0.8023809523809525,0.8008658008658008,0.8080808080808082,25.41227294899727,18.11477336000098,133.3,550.0546875,2813.80859375
11,0.8008658008658008,2026-06-26 23:54:11.589110,2026-06-26 23:54:11.590741,0 days 00:00:00.001631,full,PauliFeatureMap,"[""Y"", ""Z""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 3}",0.8008658008658008,COMPLETE,11,PauliFeatureMap,3,full,"[""Y"", ""Z""]",PauliFeatureMap,3,full,"[""Y"", ""Z""]",True,completed,,0.8055555555555556,0.8079365079365078,0.8023809523809525,0.8008658008658008,0.8080808080808082,25.41227294899727,18.11477336000098,133.3,550.0546875,2813.80859375
12,0.8008658008658008,2026-06-26 23:54:11.590845,2026-06-26 23:54:11.592410,0 days 00:00:00.001565,full,PauliFeatureMap,"[""Y"", ""Z""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 3}",0.8008658008658008,COMPLETE,12,PauliFeatureMap,3,full,"[""Y"", ""Z""]",PauliFeatureMap,3,full,"[""Y"", ""Z""]",True,completed,,0.8055555555555556,0.8079365079365078,0.8023809523809525,0.8008658008658008,0.8080808080808082,25.41227294899727,18.11477336000098,133.3,550.0546875,2813.80859375
13,0.18666666666666668,2026-06-26 23:54:11.592501,2026-06-26 23:54:52.416400,0 days 00:00:40.823899,full,PauliFeatureMap,"[""ZZ""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""ZZ""], ""reps"": 3}",0.18666666666666668,COMPLETE,13,PauliFeatureMap,3,full,"[""ZZ""]",PauliFeatureMap,3,full,"[""ZZ""]",False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,24.640547685005004,16.172287808003603,126.6,550.0546875,2726.10546875
14,0.18666666666666668,2026-06-26 23:54:52.416708,2026-06-26 23:55:17.568094,0 days 00:00:25.151386,full,PauliFeatureMap,"[""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Z""], ""reps"": 2}",0.18666666666666668,COMPLETE,14,PauliFeatureMap,2,full,"[""Z""]",PauliFeatureMap,2,full,"[""Z""]",False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,15.007463515998097,10.13714856599836,102.7,550.2734375,2725.41796875
15,0.8008658008658008,2026-06-26 23:55:17.568264,2026-06-26 23:55:17.569986,0 days 00:00:00.001722,full,PauliFeatureMap,"[""Y"", ""Z""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 3}",0.8008658008658008,COMPLETE,15,PauliFeatureMap,3,full,"[""Y"", ""Z""]",PauliFeatureMap,3,full,"[""Y"", ""Z""]",True,completed,,0.8055555555555556,0.8079365079365078,0.8023809523809525,0.8008658008658008,0.8080808080808082,25.41227294899727,18.11477336000098,133.3,550.0546875,2813.80859375
16,0.6888888888888888,2026-06-26 23:55:17.570074,2026-06-26 23:56:03.538956,0 days 00:00:45.968882,circular,PauliFeatureMap,"[""X"", ""Y"", ""Z""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Y"", ""Z""], ""reps"": 2}",0.6888888888888888,COMPLETE,16,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",False,completed,,0.7222222222222222,0.7375000000000002,0.692857142857143,0.6888888888888888,0.7074074074074074,27.967435329999716,17.993928809002682,106.0,550.4921875,2725.41796875
17,0.8008658008658008,2026-06-26 23:56:03.539304,2026-06-26 23:56:53.501938,0 days 00:00:49.962634,full,PauliFeatureMap,"[""X"", ""Z""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Z""], ""reps"": 3}",0.8008658008658008,COMPLETE,17,PauliFeatureMap,3,full,"[""X"", ""Z""]",PauliFeatureMap,3,full,"[""X"", ""Z""]",False,completed,,0.8055555555555556,0.8079365079365078,0.8023809523809525,0.8008658008658008,0.8080808080808082,28.292868488999375,21.667758288000186,109.4,550.4921875,2725.41796875
18,0.18666666666666668,2026-06-26 23:56:53.502124,2026-06-26 23:57:14.425257,0 days 00:00:20.923133,full,ZFeatureMap,,2,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.18666666666666668,COMPLETE,18,ZFeatureMap,2,full,,ZFeatureMap,2,,,False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,12.654675564997888,8.262897252003313,284.1,550.7109375,2725.41796875
19,0.8008658008658008,2026-06-26 23:57:14.425429,2026-06-26 23:57:58.553525,0 days 00:00:44.128096,circular,PauliFeatureMap,"[""Y"", ""Z""]",3,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 3}",0.8008658008658008,COMPLETE,19,PauliFeatureMap,3,circular,"[""Y"", ""Z""]",PauliFeatureMap,3,circular,"[""Y"", ""Z""]",False,completed,,0.8055555555555556,0.8079365079365078,0.8023809523809525,0.8008658008658008,0.8080808080808082,26.2914171789962,17.830819385002542,104.1,550.7109375,2725.41796875
