,sum_sq,df,F,PR(>F)
C(reps),113.20973171797351,1.0,55.109910584950036,1.3201842420933963e-05
C(entanglement),3.519397585465849,1.0,1.713224502033859,0.21725185313427403
C(paulis),0.3823607028579968,1.0,0.18613120820917392,0.6744900643368259
Residual,22.59678950083054,11.0,,
