model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,test_sample_count,accuracy_correct_count,accuracy_wilson_95_low,accuracy_wilson_95_high,macro_f1_bootstrap_95_low,macro_f1_bootstrap_95_high,status
Classical SVM,0.9722222222222222,0.9666666666666667,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.974074074074074,0.9722222222222222,0.9719701552732407,36,35,0.8583028134672614,0.9950795928601897,0.8947310584152689,1.0,completed
QSVM,0.9444444444444444,0.942857142857143,0.9505494505494506,0.942857142857143,0.9453132832080201,0.9465811965811967,0.9444444444444444,0.944269005847953,36,34,0.8185534279135275,0.9846300133358382,0.8558137665474621,1.0,completed
