,sum_sq,df,F,PR(>F)
C(reps),0.10808899176954762,1.0,34.43389199255129,0.00010801602378593719
C(entanglement),0.0011114785420341096,1.0,0.35408353285448624,0.5638511236981537
C(paulis),6.43004115226358e-05,1.0,0.020484171322160794,0.8887811964447757
Residual,0.034529320987654336,11.0,,
